freq,indic_ppp,ppp_cat18,geo,TIME_PERIOD,values
A,VI_PPS_EU27_2020_HAB,GDP,LT,2016-01-01,75
A,VI_PPS_EU27_2020_HAB,GDP,LT,2017-01-01,78
A,VI_PPS_EU27_2020_HAB,GDP,LT,2018-01-01,81
A,VI_PPS_EU27_2020_HAB,GDP,LT,2019-01-01,83
A,VI_PPS_EU27_2020_HAB,GDP,LT,2020-01-01,87
A,VI_PPS_EU27_2020_HAB,GDP,LT,2021-01-01,88
A,VI_PPS_EU27_2020_HAB,GDP,LT,2022-01-01,87
A,VI_PPS_EU27_2020_HAB,GDP,LT,2023-01-01,86
A,VI_PPS_EU27_2020_HAB,GDP,LT,2024-01-01,87
A,VI_PPS_EU27_2020_HAB,GDP,LT,2025-01-01,88
A,VI_PPS_EU27_2020_HAB,GDP,LU,2014-01-01,280
A,VI_PPS_EU27_2020_HAB,GDP,LU,2015-01-01,279
A,VI_PPS_EU27_2020_HAB,GDP,LU,2016-01-01,276
A,VI_PPS_EU27_2020_HAB,GDP,LU,2017-01-01,266
A,VI_PPS_EU27_2020_HAB,GDP,LU,2018-01-01,258
A,VI_PPS_EU27_2020_HAB,GDP,LU,2019-01-01,249
A,VI_PPS_EU27_2020_HAB,GDP,LU,2020-01-01,256
A,VI_PPS_EU27_2020_HAB,GDP,LU,2021-01-01,263
A,VI_PPS_EU27_2020_HAB,GDP,LU,2022-01-01,250
A,VI_PPS_EU27_2020_HAB,GDP,LU,2023-01-01,248
A,VI_PPS_EU27_2020_HAB,GDP,LU,2024-01-01,245
A,VI_PPS_EU27_2020_HAB,GDP,LU,2025-01-01,239
A,VI_PPS_EU27_2020_HAB,GDP,LV,2014-01-01,61
A,VI_PPS_EU27_2020_HAB,GDP,LV,2015-01-01,62
A,VI_PPS_EU27_2020_HAB,GDP,LV,2016-01-01,63
A,VI_PPS_EU27_2020_HAB,GDP,LV,2017-01-01,64
A,VI_PPS_EU27_2020_HAB,GDP,LV,2018-01-01,66
A,VI_PPS_EU27_2020_HAB,GDP,LV,2019-01-01,66
